Date,Stocks
2026-02-11,"[""SAFEENTP.NS"", ""WAAREEINDO.NS"", ""GVT&D.NS"", ""ALPEXSOLAR.NS"", ""PRUDENT.NS"", ""NATIONALUM.NS"", ""TAC.NS"", ""HDFCAMC.NS"", ""506854.NS"", ""522195.NS"", ""NAM-INDIA.NS"", ""BEL.NS"", ""SOLARINDS.NS"", ""CUMMINSIND.NS"", ""ABSLAMC.NS"", ""WAAREEENER.NS"", ""SHREEJISPG.NS"", ""513119.NS"", ""BANCOINDIA.NS"", ""FOSECOIND.NS"", ""AIIL.NS"", ""KINGFA.NS"", ""FORCEMOT.NS"", ""POLYCAB.NS"", ""523606.NS"", ""544310.NS"", ""POKARNA.NS"", ""ECLERX.NS"", ""544037.NS"", ""FIEMIND.NS"", ""STYLAMIND.NS"", ""HBLENGINE.NS"", ""GUJTHEM.NS"", ""QPOWER.NS"", ""RPEL.NS"", ""HINDCOPPER.NS"", ""GPIL.NS"", ""ANTELOPUS.NS"", ""IMFA.NS"", ""EMCURE.NS"", ""ZFCVINDIA.NS"", ""GALLANTT.NS"", ""HAPPYFORGE.NS"", ""539997.NS"", ""JSL.NS"", ""VISHNU.NS"", ""TEGA.NS"", ""NAVA.NS""]"
2026-02-12,"[""SAFEENTP.NS"", ""WAAREEINDO.NS"", ""GVT&D.NS"", ""ALPEXSOLAR.NS"", ""PRUDENT.NS"", ""NATIONALUM.NS"", ""HDFCAMC.NS"", ""506854.NS"", ""522195.NS"", ""BORANA.NS"", ""NAM-INDIA.NS"", ""BEL.NS"", ""SOLARINDS.NS"", ""CUMMINSIND.NS"", ""ABSLAMC.NS"", ""WAAREEENER.NS"", ""SHARDAMOTR.NS"", ""SHREEJISPG.NS"", ""513119.NS"", ""BANCOINDIA.NS"", ""FOSECOIND.NS"", ""AIIL.NS"", ""KINGFA.NS"", ""FORCEMOT.NS"", ""POLYCAB.NS"", ""523606.NS"", ""544310.NS"", ""POKARNA.NS"", ""ECLERX.NS"", ""FIEMIND.NS"", ""STYLAMIND.NS"", ""HBLENGINE.NS"", ""GUJTHEM.NS"", ""QPOWER.NS"", ""RPEL.NS"", ""HINDCOPPER.NS"", ""GPIL.NS"", ""ANTELOPUS.NS"", ""IMFA.NS"", ""EMCURE.NS"", ""ZFCVINDIA.NS"", ""GALLANTT.NS"", ""HAPPYFORGE.NS"", ""539997.NS"", ""JSL.NS"", ""VISHNU.NS"", ""NAVA.NS""]"
2026-02-12,"[""SAFEENTP.NS"", ""WAAREEINDO.NS"", ""GVT&D.NS"", ""ALPEXSOLAR.NS"", ""PRUDENT.NS"", ""NATIONALUM.NS"", ""HDFCAMC.NS"", ""506854.NS"", ""522195.NS"", ""BORANA.NS"", ""NAM-INDIA.NS"", ""BEL.NS"", ""SOLARINDS.NS"", ""CUMMINSIND.NS"", ""ABSLAMC.NS"", ""WAAREEENER.NS"", ""SHARDAMOTR.NS"", ""SHREEJISPG.NS"", ""513119.NS"", ""BANCOINDIA.NS"", ""FOSECOIND.NS"", ""AIIL.NS"", ""KINGFA.NS"", ""FORCEMOT.NS"", ""POLYCAB.NS"", ""523606.NS"", ""544310.NS"", ""POKARNA.NS"", ""ECLERX.NS"", ""FIEMIND.NS"", ""STYLAMIND.NS"", ""HBLENGINE.NS"", ""GUJTHEM.NS"", ""QPOWER.NS"", ""RPEL.NS"", ""HINDCOPPER.NS"", ""GPIL.NS"", ""ANTELOPUS.NS"", ""IMFA.NS"", ""EMCURE.NS"", ""ZFCVINDIA.NS"", ""GALLANTT.NS"", ""HAPPYFORGE.NS"", ""539997.NS"", ""JSL.NS"", ""VISHNU.NS"", ""NAVA.NS""]"
2026-02-16,"[""SAFEENTP.NS"", ""WAAREEINDO.NS"", ""GVT&D.NS"", ""ALPEXSOLAR.NS"", ""PRUDENT.NS"", ""NATIONALUM.NS"", ""HDFCAMC.NS"", ""506854.NS"", ""522195.NS"", ""BORANA.NS"", ""NAM-INDIA.NS"", ""BEL.NS"", ""SOLARINDS.NS"", ""CUMMINSIND.NS"", ""ABSLAMC.NS"", ""TRANSRAILL.NS"", ""WAAREEENER.NS"", ""SHREEJISPG.NS"", ""513119.NS"", ""BANCOINDIA.NS"", ""AIIL.NS"", ""KINGFA.NS"", ""FORCEMOT.NS"", ""POLYCAB.NS"", ""523606.NS"", ""544310.NS"", ""POKARNA.NS"", ""ECLERX.NS"", ""FIEMIND.NS"", ""STYLAMIND.NS"", ""HBLENGINE.NS"", ""GUJTHEM.NS"", ""QPOWER.NS"", ""RPEL.NS"", ""ENGINERSIN.NS"", ""HINDCOPPER.NS"", ""GPIL.NS"", ""ANTELOPUS.NS"", ""IMFA.NS"", ""EMCURE.NS"", ""ZFCVINDIA.NS"", ""GALLANTT.NS"", ""HAPPYFORGE.NS"", ""539997.NS"", ""JSL.NS"", ""VISHNU.NS"", ""524717.NS""]"
2026-02-16,"[""SAFEENTP.NS"", ""WAAREEINDO.NS"", ""GVT&D.NS"", ""ALPEXSOLAR.NS"", ""PRUDENT.NS"", ""NATIONALUM.NS"", ""HDFCAMC.NS"", ""506854.NS"", ""522195.NS"", ""BORANA.NS"", ""NAM-INDIA.NS"", ""BEL.NS"", ""SOLARINDS.NS"", ""CUMMINSIND.NS"", ""ABSLAMC.NS"", ""TRANSRAILL.NS"", ""WAAREEENER.NS"", ""SHREEJISPG.NS"", ""513119.NS"", ""BANCOINDIA.NS"", ""AIIL.NS"", ""KINGFA.NS"", ""FORCEMOT.NS"", ""POLYCAB.NS"", ""523606.NS"", ""544310.NS"", ""POKARNA.NS"", ""ECLERX.NS"", ""FIEMIND.NS"", ""STYLAMIND.NS"", ""HBLENGINE.NS"", ""GUJTHEM.NS"", ""QPOWER.NS"", ""RPEL.NS"", ""ENGINERSIN.NS"", ""HINDCOPPER.NS"", ""GPIL.NS"", ""ANTELOPUS.NS"", ""IMFA.NS"", ""EMCURE.NS"", ""ZFCVINDIA.NS"", ""GALLANTT.NS"", ""HAPPYFORGE.NS"", ""539997.NS"", ""JSL.NS"", ""VISHNU.NS"", ""524717.NS""]"
2026-02-16,"[""SAFEENTP.NS"", ""WAAREEINDO.NS"", ""GVT&D.NS"", ""ALPEXSOLAR.NS"", ""PRUDENT.NS"", ""NATIONALUM.NS"", ""HDFCAMC.NS"", ""506854.NS"", ""522195.NS"", ""BORANA.NS"", ""NAM-INDIA.NS"", ""BEL.NS"", ""SOLARINDS.NS"", ""CUMMINSIND.NS"", ""ABSLAMC.NS"", ""TRANSRAILL.NS"", ""WAAREEENER.NS"", ""SHREEJISPG.NS"", ""513119.NS"", ""BANCOINDIA.NS"", ""AIIL.NS"", ""KINGFA.NS"", ""FORCEMOT.NS"", ""POLYCAB.NS"", ""523606.NS"", ""544310.NS"", ""POKARNA.NS"", ""ECLERX.NS"", ""FIEMIND.NS"", ""STYLAMIND.NS"", ""HBLENGINE.NS"", ""GUJTHEM.NS"", ""QPOWER.NS"", ""RPEL.NS"", ""ENGINERSIN.NS"", ""HINDCOPPER.NS"", ""GPIL.NS"", ""ANTELOPUS.NS"", ""IMFA.NS"", ""EMCURE.NS"", ""ZFCVINDIA.NS"", ""GALLANTT.NS"", ""HAPPYFORGE.NS"", ""539997.NS"", ""JSL.NS"", ""VISHNU.NS"", ""524717.NS""]"
2026-02-16,"[""SAFEENTP.NS"", ""WAAREEINDO.NS"", ""GVT&D.NS"", ""ALPEXSOLAR.NS"", ""PRUDENT.NS"", ""NATIONALUM.NS"", ""HDFCAMC.NS"", ""506854.NS"", ""522195.NS"", ""BORANA.NS"", ""NAM-INDIA.NS"", ""BEL.NS"", ""SOLARINDS.NS"", ""CUMMINSIND.NS"", ""ABSLAMC.NS"", ""TRANSRAILL.NS"", ""WAAREEENER.NS"", ""SHREEJISPG.NS"", ""513119.NS"", ""BANCOINDIA.NS"", ""AIIL.NS"", ""KINGFA.NS"", ""FORCEMOT.NS"", ""POLYCAB.NS"", ""523606.NS"", ""544310.NS"", ""POKARNA.NS"", ""ECLERX.NS"", ""FIEMIND.NS"", ""STYLAMIND.NS"", ""HBLENGINE.NS"", ""GUJTHEM.NS"", ""QPOWER.NS"", ""RPEL.NS"", ""ENGINERSIN.NS"", ""HINDCOPPER.NS"", ""GPIL.NS"", ""ANTELOPUS.NS"", ""IMFA.NS"", ""EMCURE.NS"", ""ZFCVINDIA.NS"", ""GALLANTT.NS"", ""HAPPYFORGE.NS"", ""539997.NS"", ""JSL.NS"", ""VISHNU.NS"", ""524717.NS""]"
2026-02-16,"[""SAFEENTP.NS"", ""WAAREEINDO.NS"", ""GVT&D.NS"", ""ALPEXSOLAR.NS"", ""PRUDENT.NS"", ""NATIONALUM.NS"", ""HDFCAMC.NS"", ""506854.NS"", ""522195.NS"", ""BORANA.NS"", ""NAM-INDIA.NS"", ""BEL.NS"", ""SOLARINDS.NS"", ""CUMMINSIND.NS"", ""ABSLAMC.NS"", ""TRANSRAILL.NS"", ""WAAREEENER.NS"", ""SHREEJISPG.NS"", ""513119.NS"", ""BANCOINDIA.NS"", ""AIIL.NS"", ""KINGFA.NS"", ""FORCEMOT.NS"", ""POLYCAB.NS"", ""523606.NS"", ""544310.NS"", ""POKARNA.NS"", ""ECLERX.NS"", ""FIEMIND.NS"", ""STYLAMIND.NS"", ""HBLENGINE.NS"", ""GUJTHEM.NS"", ""QPOWER.NS"", ""RPEL.NS"", ""ENGINERSIN.NS"", ""HINDCOPPER.NS"", ""GPIL.NS"", ""ANTELOPUS.NS"", ""IMFA.NS"", ""EMCURE.NS"", ""ZFCVINDIA.NS"", ""GALLANTT.NS"", ""HAPPYFORGE.NS"", ""539997.NS"", ""JSL.NS"", ""VISHNU.NS"", ""524717.NS""]"
2026-02-16,"[""SAFEENTP.NS"", ""WAAREEINDO.NS"", ""GVT&D.NS"", ""ALPEXSOLAR.NS"", ""PRUDENT.NS"", ""NATIONALUM.NS"", ""HDFCAMC.NS"", ""506854.NS"", ""522195.NS"", ""BORANA.NS"", ""NAM-INDIA.NS"", ""BEL.NS"", ""SOLARINDS.NS"", ""CUMMINSIND.NS"", ""ABSLAMC.NS"", ""TRANSRAILL.NS"", ""WAAREEENER.NS"", ""SHREEJISPG.NS"", ""513119.NS"", ""BANCOINDIA.NS"", ""AIIL.NS"", ""KINGFA.NS"", ""FORCEMOT.NS"", ""POLYCAB.NS"", ""523606.NS"", ""544310.NS"", ""POKARNA.NS"", ""ECLERX.NS"", ""FIEMIND.NS"", ""STYLAMIND.NS"", ""HBLENGINE.NS"", ""GUJTHEM.NS"", ""QPOWER.NS"", ""RPEL.NS"", ""ENGINERSIN.NS"", ""HINDCOPPER.NS"", ""GPIL.NS"", ""ANTELOPUS.NS"", ""IMFA.NS"", ""EMCURE.NS"", ""ZFCVINDIA.NS"", ""GALLANTT.NS"", ""HAPPYFORGE.NS"", ""539997.NS"", ""JSL.NS"", ""VISHNU.NS"", ""524717.NS""]"
2026-02-16,"[""SAFEENTP.NS"", ""WAAREEINDO.NS"", ""GVT&D.NS"", ""ALPEXSOLAR.NS"", ""PRUDENT.NS"", ""NATIONALUM.NS"", ""HDFCAMC.NS"", ""506854.NS"", ""522195.NS"", ""BORANA.NS"", ""NAM-INDIA.NS"", ""BEL.NS"", ""SOLARINDS.NS"", ""CUMMINSIND.NS"", ""ABSLAMC.NS"", ""TRANSRAILL.NS"", ""WAAREEENER.NS"", ""SHREEJISPG.NS"", ""513119.NS"", ""BANCOINDIA.NS"", ""AIIL.NS"", ""KINGFA.NS"", ""FORCEMOT.NS"", ""POLYCAB.NS"", ""523606.NS"", ""544310.NS"", ""POKARNA.NS"", ""ECLERX.NS"", ""FIEMIND.NS"", ""STYLAMIND.NS"", ""HBLENGINE.NS"", ""GUJTHEM.NS"", ""QPOWER.NS"", ""RPEL.NS"", ""ENGINERSIN.NS"", ""HINDCOPPER.NS"", ""GPIL.NS"", ""ANTELOPUS.NS"", ""IMFA.NS"", ""EMCURE.NS"", ""ZFCVINDIA.NS"", ""GALLANTT.NS"", ""HAPPYFORGE.NS"", ""539997.NS"", ""JSL.NS"", ""VISHNU.NS"", ""524717.NS""]"
2026-02-16,"[""SAFEENTP.NS"", ""WAAREEINDO.NS"", ""GVT&D.NS"", ""ALPEXSOLAR.NS"", ""PRUDENT.NS"", ""NATIONALUM.NS"", ""HDFCAMC.NS"", ""506854.NS"", ""522195.NS"", ""BORANA.NS"", ""NAM-INDIA.NS"", ""BEL.NS"", ""SOLARINDS.NS"", ""CUMMINSIND.NS"", ""ABSLAMC.NS"", ""TRANSRAILL.NS"", ""WAAREEENER.NS"", ""SHREEJISPG.NS"", ""513119.NS"", ""BANCOINDIA.NS"", ""AIIL.NS"", ""KINGFA.NS"", ""FORCEMOT.NS"", ""POLYCAB.NS"", ""523606.NS"", ""544310.NS"", ""POKARNA.NS"", ""ECLERX.NS"", ""FIEMIND.NS"", ""STYLAMIND.NS"", ""HBLENGINE.NS"", ""GUJTHEM.NS"", ""QPOWER.NS"", ""RPEL.NS"", ""ENGINERSIN.NS"", ""HINDCOPPER.NS"", ""GPIL.NS"", ""ANTELOPUS.NS"", ""IMFA.NS"", ""EMCURE.NS"", ""ZFCVINDIA.NS"", ""GALLANTT.NS"", ""HAPPYFORGE.NS"", ""539997.NS"", ""JSL.NS"", ""VISHNU.NS"", ""NAVA.NS"", ""524717.NS""]"
2026-02-17,"[""SAFEENTP.NS"", ""WAAREEINDO.NS"", ""GVT&D.NS"", ""ALPEXSOLAR.NS"", ""JSLL.NS"", ""PRUDENT.NS"", ""NATIONALUM.NS"", ""HDFCAMC.NS"", ""506854.NS"", ""522195.NS"", ""BORANA.NS"", ""NAM-INDIA.NS"", ""BEL.NS"", ""SOLARINDS.NS"", ""CUMMINSIND.NS"", ""ABSLAMC.NS"", ""TRANSRAILL.NS"", ""WAAREEENER.NS"", ""MAMATA.NS"", ""SHARDAMOTR.NS"", ""SHREEJISPG.NS"", ""513119.NS"", ""BANCOINDIA.NS"", ""AIIL.NS"", ""KINGFA.NS"", ""FORCEMOT.NS"", ""POLYCAB.NS"", ""523606.NS"", ""544310.NS"", ""POKARNA.NS"", ""ECLERX.NS"", ""FIEMIND.NS"", ""GANDHITUBE.NS"", ""STYLAMIND.NS"", ""HBLENGINE.NS"", ""GUJTHEM.NS"", ""QPOWER.NS"", ""RPEL.NS"", ""ENGINERSIN.NS"", ""HINDCOPPER.NS"", ""GPIL.NS"", ""ANTELOPUS.NS"", ""524632.NS"", ""IMFA.NS"", ""EMCURE.NS"", ""ZFCVINDIA.NS"", ""GALLANTT.NS"", ""HAPPYFORGE.NS"", ""539997.NS"", ""VISHNU.NS""]"
2026-02-18,"[""SAFEENTP.NS"", ""WAAREEINDO.NS"", ""GVT&D.NS"", ""ALPEXSOLAR.NS"", ""JSLL.NS"", ""PRUDENT.NS"", ""NATIONALUM.NS"", ""HDFCAMC.NS"", ""506854.NS"", ""522195.NS"", ""BORANA.NS"", ""NAM-INDIA.NS"", ""BEL.NS"", ""SOLARINDS.NS"", ""CUMMINSIND.NS"", ""ABSLAMC.NS"", ""TRANSRAILL.NS"", ""WAAREEENER.NS"", ""MAMATA.NS"", ""SHARDAMOTR.NS"", ""SHREEJISPG.NS"", ""SRM.NS"", ""513119.NS"", ""BANCOINDIA.NS"", ""AIIL.NS"", ""KINGFA.NS"", ""FORCEMOT.NS"", ""POLYCAB.NS"", ""523606.NS"", ""544310.NS"", ""POKARNA.NS"", ""ECLERX.NS"", ""FIEMIND.NS"", ""GANDHITUBE.NS"", ""STYLAMIND.NS"", ""HBLENGINE.NS"", ""GUJTHEM.NS"", ""QPOWER.NS"", ""GODFRYPHLP.NS"", ""RPEL.NS"", ""ENGINERSIN.NS"", ""HINDCOPPER.NS"", ""GPIL.NS"", ""ANTELOPUS.NS"", ""AEROFLEX.NS"", ""524632.NS"", ""IMFA.NS"", ""EMCURE.NS"", ""ZFCVINDIA.NS"", ""GALLANTT.NS""]"
2026-02-18,"[""SAFEENTP.NS"", ""WAAREEINDO.NS"", ""GVT&D.NS"", ""ALPEXSOLAR.NS"", ""JSLL.NS"", ""PRUDENT.NS"", ""NATIONALUM.NS"", ""HDFCAMC.NS"", ""506854.NS"", ""522195.NS"", ""BORANA.NS"", ""NAM-INDIA.NS"", ""BEL.NS"", ""SOLARINDS.NS"", ""CUMMINSIND.NS"", ""ABSLAMC.NS"", ""TRANSRAILL.NS"", ""WAAREEENER.NS"", ""MAMATA.NS"", ""SHARDAMOTR.NS"", ""SHREEJISPG.NS"", ""SRM.NS"", ""513119.NS"", ""BANCOINDIA.NS"", ""AIIL.NS"", ""KINGFA.NS"", ""FORCEMOT.NS"", ""POLYCAB.NS"", ""523606.NS"", ""544310.NS"", ""POKARNA.NS"", ""ECLERX.NS"", ""FIEMIND.NS"", ""GANDHITUBE.NS"", ""STYLAMIND.NS"", ""HBLENGINE.NS"", ""GUJTHEM.NS"", ""QPOWER.NS"", ""GODFRYPHLP.NS"", ""RPEL.NS"", ""ENGINERSIN.NS"", ""HINDCOPPER.NS"", ""GPIL.NS"", ""ANTELOPUS.NS"", ""AEROFLEX.NS"", ""524632.NS"", ""IMFA.NS"", ""EMCURE.NS"", ""ZFCVINDIA.NS"", ""GALLANTT.NS""]"
